filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v.adv,h2o_v.adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,Tair,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,Ustar,TKE,L,X.z.d..L,bowen_ratio,T.,model,x_peak,x_offset,x_10.,x_30.,x_50.,x_70.,x_90.,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,chopper_LI.7500,detector_LI.7500,pll_LI.7500,sync_LI.7500,mean_value_RSSI_LI.7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w.ts_cov,w.co2_cov,w.h2o_cov,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,Rg
2024-06-19T000000_smart3-01181.ghg,19-06-24,00:30,171.0208,0,18000,18000,-0.0723,0,-19.6634,0,28.0443,0,5.6053,0,0.640316,0,-0.265465,-0.11089,-0.0981,-0.00253,1.14E-10,7.48E-12,17.5696,444.461,457.783,0,0,1150.36,29.101,29.9732,0,0,307.364,302.53,99427.5,1.13237,1022,0.0253,0.0415,0.0207,2894.22,4082.97,0.0183,70.885,1188.76,296.653,1.86342,0.91291,-0.0159,2.07509,1.04E-14,6.50E-15,2.07509,5.21819,193.244,26.1007,-0.437799,0,0.252625,0.562672,71.489,0.0326,-0.701155,0.0673,0,21.7164,-3.29554,7.45453,18.5628,28.3095,39.7045,59.4845,-0.0714,1.01147,-17.5606,1.02449,27.2593,1.10266,5.72018,1.10266,0.622392,1.10266,800000099,800000099,800000099,800000099,800000099,800100099,899999999,899999999,80000,80000,89,89,9,13,3,2,6,5,0,0,0,0,93,0.512705,0.44311,0.169529,0.0159,0.00272,24.4013,-0.0152,0.00572,0.622392,12.2671,444.461,29.101,23.4269,97.4081,0
2024-06-19T003000_smart3-01181.ghg,19-06-24,01:00,171.0416,0,18000,18000,-0.0866,0,-20.3958,0,29.0253,0,6.72891,0,0.662546,0,-0.497062,0.97202,-0.0738,0.0222,1.18E-10,7.86E-12,17.5223,443.344,456.791,0,0,1163.43,29.4367,30.3295,0,0,307.227,302.273,99325.1,1.13203,1022.18,0.0253,0.0429,0.021,2924.59,4022.7,0.0185,72.702,1098.12,296.827,1.88397,0.866296,-0.0115,2.07363,-7.44E-15,6.75E-15,2.07363,5.82139,194.83,24.6941,-0.318834,0,0.276519,0.724804,90.3244,0.0258,-0.702691,0.0637,0,22.961,-3.48441,7.88175,19.6267,29.9319,41.98,62.8936,-0.0856,1.01118,-18.2276,1.02386,28.3097,1.10007,6.77853,1.10007,0.646213,1.10007,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,80000,80000,89,89,4,20,4,18,10,5,0,0,0,0,93,0.724247,0.548661,0.176699,0.0165,0.00255,121.975,-0.0158,0.00678,0.646213,12.2884,443.344,29.4367,23.5996,97.3807,0
2024-06-19T010000_smart3-01181.ghg,19-06-24,01:30,171.0624,0,18000,18000,-0.0662,1,-15.5924,0,22.0016,0,5.60675,0,0.502097,0,-0.489793,1.45738,0.0165,0.0333,-6.44E-11,-4.34E-12,17.5427,443.594,457.285,0,0,1184.02,29.9396,30.8637,0,0,307.009,302.019,99301.4,1.13249,1022.47,0.0253,0.0325,0.0213,2973.84,3964.11,0.0188,75.0192,990.268,297.104,1.41631,0.498307,0.0131,1.50147,4.42E-14,-3.67E-15,1.50147,4.96768,201.734,19.3836,0.499257,0,0.241723,0.655258,78.9177,0.0295,-0.708694,0.0557,0,23.5155,-3.56857,8.07212,20.1007,30.6549,42.9939,64.4127,-0.0655,1.01064,-13.9682,1.02157,21.7081,1.08974,5.65838,1.08974,0.495397,1.08974,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,80000,80000,89,89,10,7,0,13,12,21,0,0,0,0,93,0.797405,0.385904,0.127206,0.0164,0.00263,18.3588,-0.0121,0.00566,0.495397,12.27,443.594,29.9396,23.8776,97.3454,0
2024-06-19T013000_smart3-01181.ghg,19-06-24,02:00,171.0833,0,18000,18000,-0.0818,1,-12.3804,1,18.8367,1,6.31117,1,0.429869,1,-0.00395,1.05557,0.238414,0.0241,-5.74E-11,-3.89E-12,17.6896,447.199,461.174,0,0,1198.71,30.3038,31.2508,0,0,307.023,302.017,99325.2,1.13261,1022.68,0.0253,0.0279,0.0216,3010.74,3963.64,0.0191,75.9589,952.904,297.31,-0.233751,-0.240538,0.024,0.336266,-3.34E-14,-3.25E-15,0.336266,2.27424,352.716,225.82,4.09581,0,0.268785,0.532918,136.685,0.017,-0.657249,0.0398,0,48.9888,-7.43423,16.8163,41.8749,63.8618,89.5671,134.188,-0.0805,1.01602,-11.0013,1.02072,18.7497,1.07334,6.28408,1.07334,0.427883,1.07334,800000099,800000099,800000099,800000099,800000099,800101099,899999999,899999999,80000,80000,89,89,0,6,1,1,14,5,0,0,0,0,93,0.940567,0.10016,0.0251,0.041,0.0216,99.8523,-0.0095,0.00628,0.427883,12.2659,447.198,30.3038,24.0825,97.3342,0
2024-06-19T020000_smart3-01181.ghg,19-06-24,02:30,171.1041,0,18000,18000,-0.00608,2,-8.10774,1,9.49669,1,4.87575,1,0.216645,1,-0.704533,0.879054,0.275841,0.0201,-6.33E-11,-4.29E-12,17.8743,451.364,465.615,0,0,1212.04,30.6066,31.573,0,0,306.653,301.652,99316,1.13374,1022.85,0.0253,0.014,0.0218,3040.54,3880.8,0.0193,78.3484,840.254,297.474,0.585297,0.613513,-0.0156,0.848064,1.90E-14,-3.54E-15,0.848064,2.46081,175.894,46.3483,-1.05184,0,0.0732,0.221974,4.22373,0.551646,-0.853744,0.0955,0,0,0,0,0,0,0,0,-0.00593,1.0254,-7.20962,1.05172,8.67145,1.20365,4.31373,1.20365,0.197819,1.20365,800000099,800000099,800000099,800000099,800000099,800101199,899999999,899999999,80000,80000,89,89,6,5,1,7,29,25,0,0,0,0,93,0.350755,0.0652,0.028,0.0261,0.0193,47.1774,-0.00622,0.00431,0.197819,12.26,451.363,30.6066,24.2469,97.2962,0
2024-06-19T023000_smart3-01181.ghg,19-06-24,03:00,171.1249,0,18000,18000,-0.0581,1,-18.2753,2,29.5136,2,18.1003,2,0.673111,2,-0.520085,1.32186,0.544222,0.0301,2.48E-10,1.67E-11,18.2167,459.575,474.307,0,1,1231.22,31.0615,32.0572,0,1,306.241,301.383,99321.5,1.13462,1023.11,0.0252,0.0436,0.0222,3085.9,3820.67,0.0196,80.7685,734.774,297.721,0.0439,0.0375,0.0155,0.0598,6.71E-15,1.36E-14,0.0598,1.07155,173.752,40.4871,15.0117,0,0.226314,0.107593,55.2781,0.0422,-0.619216,0.0696,0,47.3689,-7.18842,16.2602,40.4903,61.7502,86.6055,129.751,-0.0552,1.05369,-15.8526,1.04015,28.5576,1.10012,17.0368,1.10012,0.651307,1.10012,800000099,800000099,800000099,800000099,800000099,800100099,899999999,899999999,80000,80000,89,89,6,9,1,5,18,18,0,0,0,0,93,0.164262,0.0316,0.0194,0.0911,0.133848,188.254,-0.0137,0.017,0.651307,12.2898,459.571,31.0613,24.4934,97.2607,0
2024-06-19T030000_smart3-01181.ghg,19-06-24,03:30,171.1458,0,18000,18000,0.000517,2,-13.7835,2,43.1541,2,30.2411,2,0.983791,2,-0.838862,1.36508,0.67007,0.0311,3.39E-11,2.28E-12,18.645,469.668,484.959,0,0,1251.7,31.5302,32.5568,0.1,0,305.897,300.951,99329.2,1.13614,1023.37,0.0252,0.0637,0.0226,3132.71,3725.55,0.0199,84.0873,592.838,297.973,0.288971,0.550175,-0.0129,0.621581,2.23E-14,1.82E-15,0.621581,1.93456,155.776,62.2899,-1.18999,0,0.0213,0.0858,0.0614,37.9692,-0.319401,0.555794,0,0,0,0,0,0,0,0,0.000347,1.49083,-6.74181,1.89099,9.38412,4.68409,6.51427,4.68409,0.213931,4.68409,800000099,800000099,800000099,800000099,800100099,800100099,899999999,899999999,80000,80000,89,89,8,4,0,10,3,5,0,0,0,0,93,0.0986,0.0595,0.0134,0.042,0.104863,122.663,-0.0058,0.00651,0.213931,12.2968,469.666,31.5302,24.7456,97.1701,0
2024-06-19T033000_smart3-01181.ghg,19-06-24,04:00,171.1666,0,18000,18000,-0.0087,0,-8.48882,0,15.1368,0,9.38958,0,0.345136,0,0.350888,0.557931,-0.172879,0.0127,2.73E-11,1.85E-12,18.5317,467.063,482.364,-0.1,0,1258.64,31.722,32.7612,-0.1,0,306.138,301.132,99335.9,1.13545,1023.49,0.0252,0.0224,0.0227,3151.98,3765.1,0.02,83.7155,613.127,298.076,0.375089,0.518904,-0.0296,0.64096,-2.32E-15,1.47E-15,0.64096,2.23686,166.965,54.1388,-2.64838,0,0.0875,0.1035,6.89092,0.338126,-0.560807,0.0834,0,0,0,0,0,0,0,0,-0.00854,1.01925,-7.33833,1.03804,13.9228,1.14888,8.42378,1.14888,0.317455,1.14888,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,80000,80000,89,89,17,12,2,2,6,9,0,0,0,0,93,0.101136,0.0769,0.0289,0.0153,0.045,49.9765,-0.00631,0.00842,0.317455,12.26,467.062,31.722,24.8486,97.1745,0
2024-06-19T040000_smart3-01181.ghg,19-06-24,04:30,171.1874,0,18000,18000,-0.0557,0,-13.4053,0,0.594655,2,8.1485,0,0.0136,2,0.276653,0.951607,-0.917007,0.0217,-1.39E-11,-9.85E-13,17.9776,453.237,468.244,0,0,1271.22,32.0491,33.1103,0,0,306.425,301.275,99352.4,1.13495,1023.68,0.0252,0.000879,0.0229,3185.01,3796.55,0.0202,83.8922,611.541,298.251,1.35118,0.710452,-0.0195,1.5267,2.14E-14,-7.75E-16,1.5267,4.78093,192.003,27.7355,-0.732793,0,0.221539,0.409206,70.7183,0.0329,-22.543,0.0521,0,23.2977,-3.53551,7.99734,19.9145,30.3709,42.5956,63.816,-0.0551,1.01087,-13.086,1.02218,2.48139,1.09233,8.08443,1.09233,0.0566,1.09233,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,80000,80000,89,89,12,10,2,14,0,7,0,0,0,0,93,0.372079,0.336967,0.109365,0.0145,0.013,133.799,-0.0113,0.00808,0.0566,12.2724,453.237,32.0492,25.023,97.1712,0
2024-06-19T043000_smart3-01181.ghg,19-06-24,05:00,171.2083,0,18000,18000,-0.0811,0,-11.8029,0,12.1006,0,5.6544,0,0.275958,0,0.0803,3.07838,-0.198571,0.0702,-5.03E-11,-3.70E-12,17.8543,450.243,465.66,0,0,1312.88,33.1078,34.2415,0,0,306.576,301.316,99340.8,1.13421,1024.3,0.0252,0.0179,0.0237,3289.84,3805.73,0.0209,86.4444,515.889,298.795,1.81095,0.72054,-0.000159,1.94903,-3.80E-14,-2.82E-15,1.94903,5.44507,197.986,21.6966,-0.00469,0,0.267426,0.535046,141.296,0.0165,-0.975399,0.038,0,24.6988,-3.74814,8.4783,21.1122,32.1974,45.1573,67.6538,-0.0803,1.01064,-10.8385,1.02245,12.4672,1.09415,5.60446,1.09415,0.284318,1.09415,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,80000,80000,89,89,5,8,3,14,15,5,0,0,0,0,93,0.508581,0.423797,0.137714,0.00492,0.0021,102.191,-0.00933,0.0056,0.284318,12.29,450.243,33.1078,25.5675,97.129,0
